"id","byear","time","attendence"
1,1981,0,1
1,1981,1,6
1,1981,2,2
1,1981,3,1
1,1981,4,1
1,1981,5,1
1,1981,6,1
1,1981,7,1
1,1981,8,1
4,1981,0,2
4,1981,1,1
4,1981,2,3
4,1981,3,1
4,1981,4,2
4,1981,5,2
4,1981,6,2
4,1981,7,2
4,1981,8,2
5,1982,0,3
5,1982,1,3
5,1982,2,3
5,1982,3,2
5,1982,4,1
5,1982,5,2
5,1982,6,1
5,1982,7,1
5,1982,8,4
6,1982,0,2
6,1982,1,3
6,1982,2,2
6,1982,3,7
6,1982,4,7
6,1982,5,2
6,1982,6,7
6,1982,7,7
6,1982,8,7
10,1984,0,6
10,1984,1,6
10,1984,2,6
10,1984,3,6
10,1984,4,6
10,1984,5,6
10,1984,6,6
10,1984,7,4
10,1984,8,4
11,1982,0,3
11,1982,1,1
11,1982,2,2
11,1982,3,2
11,1982,4,1
11,1982,5,1
11,1982,6,1
11,1982,7,1
11,1982,8,1
13,1984,0,2
13,1984,1,1
13,1984,2,1
13,1984,3,1
13,1984,4,1
13,1984,5,1
13,1984,6,1
13,1984,7,2
13,1984,8,1
16,1982,0,1
16,1982,1,3
16,1982,2,5
16,1982,3,1
16,1982,4,1
16,1982,5,1
16,1982,6,3
16,1982,7,1
16,1982,8,2
21,1982,0,1
21,1982,1,2
21,1982,2,2
21,1982,3,1
21,1982,4,1
21,1982,5,1
21,1982,6,1
21,1982,7,2
21,1982,8,2
23,1983,0,1
23,1983,1,5
23,1983,2,3
23,1983,3,5
23,1983,4,2
23,1983,5,2
23,1983,6,4
23,1983,7,2
23,1983,8,4
24,1984,0,1
24,1984,1,1
24,1984,2,1
24,1984,3,1
24,1984,4,2
24,1984,5,1
24,1984,6,1
24,1984,7,1
24,1984,8,1
25,1983,0,5
25,1983,1,7
25,1983,2,7
25,1983,3,2
25,1983,4,7
25,1983,5,5
25,1983,6,7
25,1983,7,5
25,1983,8,7
27,1981,0,2
27,1981,1,2
27,1981,2,2
27,1981,3,4
27,1981,4,2
27,1981,5,1
27,1981,6,1
27,1981,7,1
27,1981,8,1
28,1983,0,6
28,1983,1,6
28,1983,2,6
28,1983,3,6
28,1983,4,6
28,1983,5,6
28,1983,6,6
28,1983,7,6
28,1983,8,5
33,1980,0,2
33,1980,1,3
33,1980,2,2
33,1980,3,2
33,1980,4,2
33,1980,5,3
33,1980,6,2
33,1980,7,3
33,1980,8,2
34,1984,0,3
34,1984,1,2
34,1984,2,2
34,1984,3,2
34,1984,4,2
34,1984,5,2
34,1984,6,1
34,1984,7,1
34,1984,8,1
35,1983,0,1
35,1983,1,1
35,1983,2,1
35,1983,3,1
35,1983,4,1
35,1983,5,1
35,1983,6,1
35,1983,7,1
35,1983,8,1
37,1980,0,1
37,1980,1,1
37,1980,2,2
37,1980,3,1
37,1980,4,1
37,1980,5,2
37,1980,6,1
37,1980,7,2
37,1980,8,1
38,1981,0,1
38,1981,1,1
38,1981,2,3
38,1981,3,1
38,1981,4,1
38,1981,5,1
38,1981,6,1
38,1981,7,1
38,1981,8,1
39,1980,0,6
39,1980,1,2
39,1980,2,2
39,1980,3,2
39,1980,4,3
39,1980,5,2
39,1980,6,5
39,1980,7,2
39,1980,8,3
41,1983,0,2
41,1983,1,2
41,1983,2,1
41,1983,3,1
41,1983,4,1
41,1983,5,1
41,1983,6,1
41,1983,7,1
41,1983,8,1
42,1983,0,1
42,1983,1,2
42,1983,2,1
42,1983,3,1
42,1983,4,1
42,1983,5,1
42,1983,6,1
42,1983,7,1
42,1983,8,1
44,1981,0,7
44,1981,1,7
44,1981,2,7
44,1981,3,7
44,1981,4,7
44,1981,5,6
44,1981,6,7
44,1981,7,7
44,1981,8,7
45,1984,0,3
45,1984,1,1
45,1984,2,1
45,1984,3,1
45,1984,4,5
45,1984,5,1
45,1984,6,1
45,1984,7,2
45,1984,8,1
47,1982,0,5
47,1982,1,2
47,1982,2,4
47,1982,3,2
47,1982,4,3
47,1982,5,2
47,1982,6,2
47,1982,7,3
47,1982,8,2
48,1983,0,3
48,1983,1,3
48,1983,2,3
48,1983,3,1
48,1983,4,2
48,1983,5,5
48,1983,6,3
48,1983,7,4
48,1983,8,3
49,1982,0,2
49,1982,1,1
49,1982,2,1
49,1982,3,1
49,1982,4,2
49,1982,5,1
49,1982,6,1
49,1982,7,2
49,1982,8,2
52,1983,0,1
52,1983,1,2
52,1983,2,3
52,1983,3,2
52,1983,4,2
52,1983,5,4
52,1983,6,3
52,1983,7,2
52,1983,8,2
53,1984,0,2
53,1984,1,3
53,1984,2,2
53,1984,3,2
53,1984,4,1
53,1984,5,2
53,1984,6,1
53,1984,7,2
53,1984,8,1
54,1984,0,1
54,1984,1,1
54,1984,2,2
54,1984,3,2
54,1984,4,3
54,1984,5,1
54,1984,6,2
54,1984,7,5
54,1984,8,2
55,1981,0,1
55,1981,1,2
55,1981,2,2
55,1981,3,2
55,1981,4,4
55,1981,5,1
55,1981,6,1
55,1981,7,6
55,1981,8,3
56,1982,0,5
56,1982,1,3
56,1982,2,3
56,1982,3,2
56,1982,4,3
56,1982,5,3
56,1982,6,3
56,1982,7,2
56,1982,8,3
57,1982,0,7
57,1982,1,7
57,1982,2,3
57,1982,3,5
57,1982,4,6
57,1982,5,5
57,1982,6,2
57,1982,7,8
57,1982,8,3
59,1981,0,6
59,1981,1,6
59,1981,2,6
59,1981,3,6
59,1981,4,2
59,1981,5,4
59,1981,6,4
59,1981,7,2
59,1981,8,3
60,1984,0,6
60,1984,1,6
60,1984,2,3
60,1984,3,5
60,1984,4,4
60,1984,5,4
60,1984,6,4
60,1984,7,3
60,1984,8,3
61,1983,0,1
61,1983,1,1
61,1983,2,1
61,1983,3,1
61,1983,4,2
61,1983,5,3
61,1983,6,2
61,1983,7,4
61,1983,8,1
62,1980,0,2
62,1980,1,1
62,1980,2,1
62,1980,3,1
62,1980,4,3
62,1980,5,1
62,1980,6,1
62,1980,7,1
62,1980,8,1
63,1984,0,6
63,1984,1,1
63,1984,2,4
63,1984,3,3
63,1984,4,3
63,1984,5,3
63,1984,6,2
63,1984,7,3
63,1984,8,2
67,1980,0,2
67,1980,1,1
67,1980,2,2
67,1980,3,1
67,1980,4,1
67,1980,5,1
67,1980,6,4
67,1980,7,2
67,1980,8,1
68,1981,0,2
68,1981,1,2
68,1981,2,8
68,1981,3,6
68,1981,4,3
68,1981,5,6
68,1981,6,6
68,1981,7,2
68,1981,8,6
69,1981,0,7
69,1981,1,7
69,1981,2,6
69,1981,3,7
69,1981,4,2
69,1981,5,7
69,1981,6,6
69,1981,7,7
69,1981,8,6
70,1982,0,6
70,1982,1,6
70,1982,2,6
70,1982,3,6
70,1982,4,6
70,1982,5,5
70,1982,6,4
70,1982,7,4
70,1982,8,2
71,1980,0,1
71,1980,1,1
71,1980,2,1
71,1980,3,1
71,1980,4,2
71,1980,5,2
71,1980,6,1
71,1980,7,1
71,1980,8,1
75,1982,0,1
75,1982,1,1
75,1982,2,1
75,1982,3,1
75,1982,4,1
75,1982,5,1
75,1982,6,1
75,1982,7,6
75,1982,8,6
76,1982,0,1
76,1982,1,1
76,1982,2,1
76,1982,3,1
76,1982,4,1
76,1982,5,1
76,1982,6,1
76,1982,7,1
76,1982,8,1
78,1981,0,1
78,1981,1,1
78,1981,2,1
78,1981,3,1
78,1981,4,2
78,1981,5,1
78,1981,6,1
78,1981,7,1
78,1981,8,1
79,1983,0,4
79,1983,1,1
79,1983,2,1
79,1983,3,1
79,1983,4,1
79,1983,5,1
79,1983,6,1
79,1983,7,1
79,1983,8,1
80,1981,0,2
80,1981,1,1
80,1981,2,1
80,1981,3,1
80,1981,4,1
80,1981,5,1
80,1981,6,1
80,1981,7,1
80,1981,8,2
83,1981,0,3
83,1981,1,4
83,1981,2,5
83,1981,3,3
83,1981,4,1
83,1981,5,1
83,1981,6,2
83,1981,7,2
83,1981,8,2
85,1984,0,2
85,1984,1,1
85,1984,2,4
85,1984,3,1
85,1984,4,1
85,1984,5,1
85,1984,6,1
85,1984,7,1
85,1984,8,1
86,1980,0,1
86,1980,1,4
86,1980,2,1
86,1980,3,1
86,1980,4,1
86,1980,5,1
86,1980,6,1
86,1980,7,1
86,1980,8,1
89,1981,0,6
89,1981,1,5
89,1981,2,3
89,1981,3,2
89,1981,4,1
89,1981,5,1
89,1981,6,1
89,1981,7,1
89,1981,8,1
90,1981,0,2
90,1981,1,2
90,1981,2,3
90,1981,3,3
90,1981,4,2
90,1981,5,2
90,1981,6,2
90,1981,7,2
90,1981,8,2
91,1982,0,4
91,1982,1,2
91,1982,2,4
91,1982,3,2
91,1982,4,3
91,1982,5,3
91,1982,6,2
91,1982,7,2
91,1982,8,4
92,1983,0,1
92,1983,1,1
92,1983,2,1
92,1983,3,1
92,1983,4,2
92,1983,5,2
92,1983,6,2
92,1983,7,4
92,1983,8,2
97,1980,0,1
97,1980,1,1
97,1980,2,2
97,1980,3,1
97,1980,4,3
97,1980,5,6
97,1980,6,6
97,1980,7,6
97,1980,8,6
100,1981,0,2
100,1981,1,2
100,1981,2,1
100,1981,3,1
100,1981,4,2
100,1981,5,1
100,1981,6,2
100,1981,7,2
100,1981,8,2
101,1981,0,7
101,1981,1,3
101,1981,2,4
101,1981,3,5
101,1981,4,4
101,1981,5,2
101,1981,6,5
101,1981,7,6
101,1981,8,6
104,1980,0,1
104,1980,1,1
104,1980,2,1
104,1980,3,2
104,1980,4,1
104,1980,5,2
104,1980,6,2
104,1980,7,2
104,1980,8,1
105,1983,0,1
105,1983,1,3
105,1983,2,2
105,1983,3,3
105,1983,4,1
105,1983,5,1
105,1983,6,1
105,1983,7,3
105,1983,8,2
107,1982,0,6
107,1982,1,3
107,1982,2,2
107,1982,3,4
107,1982,4,5
107,1982,5,3
107,1982,6,3
107,1982,7,3
107,1982,8,3
108,1984,0,6
108,1984,1,6
108,1984,2,3
108,1984,3,3
108,1984,4,2
108,1984,5,4
108,1984,6,2
108,1984,7,2
108,1984,8,2
109,1982,0,5
109,1982,1,2
109,1982,2,2
109,1982,3,1
109,1982,4,1
109,1982,5,1
109,1982,6,1
109,1982,7,1
109,1982,8,1
110,1984,0,3
110,1984,1,3
110,1984,2,2
110,1984,3,2
110,1984,4,2
110,1984,5,1
110,1984,6,1
110,1984,7,2
110,1984,8,1
111,1981,0,2
111,1981,1,2
111,1981,2,3
111,1981,3,1
111,1981,4,2
111,1981,5,1
111,1981,6,1
111,1981,7,1
111,1981,8,1
113,1984,0,2
113,1984,1,2
113,1984,2,4
113,1984,3,2
113,1984,4,2
113,1984,5,2
113,1984,6,2
113,1984,7,1
113,1984,8,2
114,1982,0,2
114,1982,1,1
114,1982,2,1
114,1982,3,1
114,1982,4,1
114,1982,5,3
114,1982,6,2
114,1982,7,1
114,1982,8,1
118,1980,0,2
118,1980,1,2
118,1980,2,2
118,1980,3,2
118,1980,4,2
118,1980,5,2
118,1980,6,1
118,1980,7,1
118,1980,8,1
122,1984,0,6
122,1984,1,5
122,1984,2,1
122,1984,3,1
122,1984,4,4
122,1984,5,1
122,1984,6,1
122,1984,7,1
122,1984,8,2
126,1981,0,2
126,1981,1,2
126,1981,2,2
126,1981,3,2
126,1981,4,2
126,1981,5,5
126,1981,6,2
126,1981,7,1
126,1981,8,2
127,1982,0,2
127,1982,1,6
127,1982,2,2
127,1982,3,6
127,1982,4,6
127,1982,5,6
127,1982,6,4
127,1982,7,4
127,1982,8,5
135,1981,0,1
135,1981,1,1
135,1981,2,1
135,1981,3,1
135,1981,4,1
135,1981,5,1
