id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
1,9,1981,1,6,2,1,1,1,1,1,1
2,7,1982,2,2,1,1,2,2,N,N,3
3,9,1983,3,2,2,2,1,N,N,N,N
4,2,1981,2,1,3,1,2,2,2,2,2
5,10,1982,3,3,3,2,1,2,1,1,4
6,1,1982,2,3,2,7,7,2,7,7,7
7,4,1983,6,1,1,N,N,1,1,N,N
8,6,1981,2,2,4,3,3,3,3,3,N
9,10,1982,5,4,2,4,3,4,D,2,3
10,3,1984,6,6,6,6,6,6,6,4,4
11,6,1982,3,1,2,2,1,1,1,1,1
12,10,1981,7,7,3,6,2,N,5,4,5
13,11,1984,2,1,1,1,1,1,1,2,1
14,7,1980,N,N,N,N,N,N,N,N,N
15,1,1983,2,2,1,1,3,1,1,N,N
16,2,1982,1,3,5,1,1,1,3,1,2
17,11,1981,1,N,N,N,1,N,N,N,N
18,2,1982,2,N,2,1,2,1,2,1,1
19,4,1984,2,6,1,1,1,2,1,N,N
20,12,1980,1,N,2,3,2,N,N,N,N
21,8,1982,1,2,2,1,1,1,1,2,2
22,6,1982,1,1,2,2,2,N,N,2,N
23,1,1983,1,5,3,5,2,2,4,2,4
24,6,1984,1,1,1,1,2,1,1,1,1
25,3,1983,5,7,7,2,7,5,7,5,7
26,10,1980,1,2,1,1,4,8,1,1,R
27,5,1981,2,2,2,4,2,1,1,1,1
28,11,1983,6,6,6,6,6,6,6,6,5
29,1,1983,4,N,N,N,N,N,N,N,N
30,6,1981,N,N,N,N,N,N,N,N,N
31,7,1982,2,2,1,2,1,1,D,2,1
32,7,1981,N,2,3,4,2,N,N,N,1
33,12,1980,2,3,2,2,2,3,2,3,2
34,12,1984,3,2,2,2,2,2,1,1,1
35,1,1983,1,1,1,1,1,1,1,1,1
36,8,1980,2,2,2,1,1,D,6,5,3
37,11,1980,1,1,2,1,1,2,1,2,1
38,9,1981,1,1,3,1,1,1,1,1,1
39,2,1980,6,2,2,2,3,2,5,2,3
40,5,1984,1,1,1,N,1,N,N,N,N
41,1,1983,2,2,1,1,1,1,1,1,1
42,8,1983,1,2,1,1,1,1,1,1,1
43,10,1981,2,N,2,1,3,1,1,1,R
44,12,1981,7,7,7,7,7,6,7,7,7
45,2,1984,3,1,1,1,5,1,1,2,1
46,2,1984,3,2,2,6,4,N,N,N,R
47,9,1982,5,2,4,2,3,2,2,3,2
48,7,1983,3,3,3,1,2,5,3,4,3
49,12,1982,2,1,1,1,2,1,1,2,2
50,2,1983,2,2,6,2,3,1,5,R,5
51,6,1980,6,6,4,3,3,D,2,2,2
52,12,1983,1,2,3,2,2,4,3,2,2
53,4,1984,2,3,2,2,1,2,1,2,1
54,12,1984,1,1,2,2,3,1,2,5,2
55,2,1981,1,2,2,2,4,1,1,6,3
56,2,1982,5,3,3,2,3,3,3,2,3
57,12,1982,7,7,3,5,6,5,2,8,3
58,11,1983,1,1,1,1,1,1,1,N,1
59,4,1981,6,6,6,6,2,4,4,2,3
60,1,1984,6,6,3,5,4,4,4,3,3
61,5,1983,1,1,1,1,2,3,2,4,1
62,3,1980,2,1,1,1,3,1,1,1,1
63,10,1984,6,1,4,3,3,3,2,3,2
64,3,1980,5,5,2,4,D,2,R,4,6
65,4,1984,8,5,7,7,R,R,6,7,6
66,10,1980,3,7,2,5,3,1,N,3,4
67,11,1980,2,1,2,1,1,1,4,2,1
68,1,1981,2,2,8,6,3,6,6,2,6
69,7,1981,7,7,6,7,2,7,6,7,6
70,8,1982,6,6,6,6,6,5,4,4,2
71,1,1980,1,1,1,1,2,2,1,1,1
72,4,1982,1,1,2,1,1,1,2,N,N
73,10,1984,2,3,4,2,2,2,2,N,N
74,7,1983,2,5,3,3,N,3,2,2,5
75,1,1982,1,1,1,1,1,1,1,6,6
76,1,1982,1,1,1,1,1,1,1,1,1
77,11,1984,2,4,2,2,1,1,1,N,2
78,7,1981,1,1,1,1,2,1,1,1,1
79,12,1983,4,1,1,1,1,1,1,1,1
80,6,1981,2,1,1,1,1,1,1,1,2
81,1,1984,1,1,2,1,6,D,1,2,D
82,7,1984,2,5,3,1,N,2,3,2,3
83,9,1981,3,4,5,3,1,1,2,2,2
84,2,1984,6,2,2,6,N,N,N,1,2
85,2,1984,2,1,4,1,1,1,1,1,1
86,10,1980,1,4,1,1,1,1,1,1,1
87,5,1984,6,4,2,1,3,R,1,1,1
88,1,1981,4,3,3,5,N,N,N,N,N
89,11,1981,6,5,3,2,1,1,1,1,1
90,11,1981,2,2,3,3,2,2,2,2,2
91,9,1982,4,2,4,2,3,3,2,2,4
92,4,1983,1,1,1,1,2,2,2,4,2
93,9,1983,1,2,2,N,3,5,1,1,1
94,9,1980,2,2,6,2,2,D,1,2,6
95,7,1982,N,N,N,N,1,N,4,1,N
96,7,1982,N,N,N,N,N,N,N,N,1
97,6,1980,1,1,2,1,3,6,6,6,6
