id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
1,9,1981,1,6,2,1,1,1,1,1,1
4,2,1981,2,1,3,1,2,2,2,2,2
5,10,1982,3,3,3,2,1,2,1,1,4
6,1,1982,2,3,2,7,7,2,7,7,7
10,3,1984,6,6,6,6,6,6,6,4,4
11,6,1982,3,1,2,2,1,1,1,1,1
13,11,1984,2,1,1,1,1,1,1,2,1
16,2,1982,1,3,5,1,1,1,3,1,2
21,8,1982,1,2,2,1,1,1,1,2,2
23,1,1983,1,5,3,5,2,2,4,2,4
24,6,1984,1,1,1,1,2,1,1,1,1
25,3,1983,5,7,7,2,7,5,7,5,7
27,5,1981,2,2,2,4,2,1,1,1,1
28,11,1983,6,6,6,6,6,6,6,6,5
33,12,1980,2,3,2,2,2,3,2,3,2
34,12,1984,3,2,2,2,2,2,1,1,1
35,1,1983,1,1,1,1,1,1,1,1,1
37,11,1980,1,1,2,1,1,2,1,2,1
38,9,1981,1,1,3,1,1,1,1,1,1
39,2,1980,6,2,2,2,3,2,5,2,3
41,1,1983,2,2,1,1,1,1,1,1,1
42,8,1983,1,2,1,1,1,1,1,1,1
44,12,1981,7,7,7,7,7,6,7,7,7
45,2,1984,3,1,1,1,5,1,1,2,1
47,9,1982,5,2,4,2,3,2,2,3,2
48,7,1983,3,3,3,1,2,5,3,4,3
49,12,1982,2,1,1,1,2,1,1,2,2
52,12,1983,1,2,3,2,2,4,3,2,2
53,4,1984,2,3,2,2,1,2,1,2,1
54,12,1984,1,1,2,2,3,1,2,5,2
55,2,1981,1,2,2,2,4,1,1,6,3
56,2,1982,5,3,3,2,3,3,3,2,3
57,12,1982,7,7,3,5,6,5,2,8,3
59,4,1981,6,6,6,6,2,4,4,2,3
60,1,1984,6,6,3,5,4,4,4,3,3
61,5,1983,1,1,1,1,2,3,2,4,1
62,3,1980,2,1,1,1,3,1,1,1,1
63,10,1984,6,1,4,3,3,3,2,3,2
67,11,1980,2,1,2,1,1,1,4,2,1
68,1,1981,2,2,8,6,3,6,6,2,6
69,7,1981,7,7,6,7,2,7,6,7,6
70,8,1982,6,6,6,6,6,5,4,4,2
71,1,1980,1,1,1,1,2,2,1,1,1
75,1,1982,1,1,1,1,1,1,1,6,6
76,1,1982,1,1,1,1,1,1,1,1,1
78,7,1981,1,1,1,1,2,1,1,1,1
79,12,1983,4,1,1,1,1,1,1,1,1
80,6,1981,2,1,1,1,1,1,1,1,2
83,9,1981,3,4,5,3,1,1,2,2,2
85,2,1984,2,1,4,1,1,1,1,1,1
86,10,1980,1,4,1,1,1,1,1,1,1
89,11,1981,6,5,3,2,1,1,1,1,1
90,11,1981,2,2,3,3,2,2,2,2,2
91,9,1982,4,2,4,2,3,3,2,2,4
92,4,1983,1,1,1,1,2,2,2,4,2
97,6,1980,1,1,2,1,3,6,6,6,6
100,1,1981,2,2,1,1,2,1,2,2,2
101,7,1981,7,3,4,5,4,2,5,6,6
104,11,1980,1,1,1,2,1,2,2,2,1
105,8,1983,1,3,2,3,1,1,1,3,2
107,8,1982,6,3,2,4,5,3,3,3,3
108,9,1984,6,6,3,3,2,4,2,2,2
109,3,1982,5,2,2,1,1,1,1,1,1
110,2,1984,3,3,2,2,2,1,1,2,1
111,1,1981,2,2,3,1,2,1,1,1,1
113,4,1984,2,2,4,2,2,2,2,1,2
114,7,1982,2,1,1,1,1,3,2,1,1
118,6,1980,2,2,2,2,2,2,1,1,1
122,6,1984,6,5,1,1,4,1,1,1,2
126,5,1981,2,2,2,2,2,5,2,1,2
127,3,1982,2,6,2,6,6,6,4,4,5
135,4,1981,1,1,1,1,1,1,1,1,1
137,5,1980,6,2,3,3,4,1,3,3,3
138,4,1984,6,4,6,2,1,1,1,1,2
144,8,1982,6,6,6,6,5,2,4,4,2
145,4,1984,6,6,6,5,4,3,2,3,4
146,7,1984,7,6,3,4,4,2,2,2,3
